State,Law,Intervention,InterventionYear,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AK,ccbackground,removal,2003,535,353,454,441,495,459,582,590,589,535,540,543,575,549,550,599,716,883
AK,ccrevoke,removal,2003,535,353,454,441,495,459,582,590,589,535,540,543,575,549,550,599,716,883
AK,permitconcealed,removal,2003,535,353,454,441,495,459,582,590,589,535,540,543,575,549,550,599,716,883
AK,nosyg,removal,2013,535,353,454,441,495,459,582,590,589,535,540,543,575,549,550,599,716,883
AL,immunity,removal,2000,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,preemptionbroad,removal,2000,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,recordsallh,removal,2000,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,reportallh,removal,2000,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,waitingh,removal,2000,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,ccbackground,implemented,2006,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,nosyg,removal,2006,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,stalking,removal,2012,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,ccbackgroundnics,implemented,2013,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,ccrenewbackground,implemented,2013,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,mayissue,removal,2013,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,showing,removal,2013,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,danger,implemented,2015,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,dvro,implemented,2015,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,invcommitment,implemented,2015,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,mcdv,implemented,2015,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,purge,removal,2015,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,recordsdealerh,removal,2015,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,reportdealerh,removal,2015,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,security,removal,2015,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AR,collegeconcealed,removal,2013,1761,1687,1373,1322,1510,2008,2550,2577,2565,2316,2515,2548,2518,2541,2471,2822,3114,3884
