State,Law,Intervention,InterventionYear,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AK,ccbackground,removal,2003,55,96,61,87,76,89,81,68,87,116,76,99,99,98,120,115,123,113
AK,ccrevoke,removal,2003,55,96,61,87,76,89,81,68,87,116,76,99,99,98,120,115,123,113
AK,permitconcealed,removal,2003,55,96,61,87,76,89,81,68,87,116,76,99,99,98,120,115,123,113
AK,nosyg,removal,2013,55,96,61,87,76,89,81,68,87,116,76,99,99,98,120,115,123,113
AL,immunity,removal,2000,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,preemptionbroad,removal,2000,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,recordsallh,removal,2000,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,reportallh,removal,2000,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,waitingh,removal,2000,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,ccbackground,implemented,2006,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,nosyg,removal,2006,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,stalking,removal,2012,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,ccbackgroundnics,implemented,2013,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,ccrenewbackground,implemented,2013,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,mayissue,removal,2013,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,showing,removal,2013,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,danger,implemented,2015,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,dvro,implemented,2015,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,invcommitment,implemented,2015,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,mcdv,implemented,2015,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,purge,removal,2015,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,recordsdealerh,removal,2015,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,reportdealerh,removal,2015,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,security,removal,2015,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AR,collegeconcealed,removal,2013,234,244,274,257,258,232,262,247,244,275,285,266,299,307,322,323,342,331
AR,stalking,removal,2013,234,244,274,257,258,232,262,247,244,275,285,266,299,307,322,323,342,331
AZ,mcdv,implemented,2000,476,489,468,559,486,509,514,563,552,540,605,620,674,663,655,683,707,755
AZ,mcdvdating,implemented,2000,476,489,468,559,486,509,514,563,552,540,605,620,674,663,655,683,707,755
AZ,ccbackground,removal,2010,476,489,468,559,486,509,514,563,552,540,605,620,674,663,655,683,707,755
AZ,ccrenewbackground,removal,2010,476,489,468,559,486,509,514,563,552,540,605,620,674,663,655,683,707,755
AZ,ccrevoke,removal,2010,476,489,468,559,486,509,514,563,552,540,605,620,674,663,655,683,707,755
AZ,nosyg,removal,2010,476,489,468,559,486,509,514,563,552,540,605,620,674,663,655,683,707,755
AZ,permitconcealed,removal,2010,476,489,468,559,486,509,514,563,552,540,605,620,674,663,655,683,707,755
CA,dvro,implemented,2000,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,dvrodating,implemented,2000,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,dvrosurrender,implemented,2000,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,dvrosurrenderdating,implemented,2000,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,dvrosurrendernoconditions,implemented,2000,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,exparte,implemented,2000,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,expartedating,implemented,2000,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,expartesurrender,implemented,2000,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,expartesurrenderdating,implemented,2000,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,expartesurrendernoconditions,implemented,2000,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,incidentremoval,implemented,2000,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,magazine,implemented,2000,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,onefeature,implemented,2000,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,tenroundlimit,implemented,2000,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,junkgun,implemented,2001,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,immunity,implemented,2002,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,lockd,implemented,2002,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,lockp,implemented,2002,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,lockstandards,implemented,2002,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,mcdvsurrender,implemented,2002,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,mcdvsurrenderdating,implemented,2002,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,mcdvsurrendernoconditions,implemented,2002,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,ammrecords,implemented,2011,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,fingerprint,implemented,2012,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,capaccess,implemented,2013,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,capliability,implemented,2013,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,dvroremoval,implemented,2013,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,microstamp,implemented,2013,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,defactoreg,implemented,2014,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,collegeconcealed,implemented,2015,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,permit,implemented,2015,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,gvro,implemented,2016,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CA,gvrolawenforcement,implemented,2016,1532,1487,1450,1490,1505,1366,1329,1319,1422,1478,1519,1492,1564,1549,1571,1582,1559,1595
CO,immunity,removal,2000,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,traffickingprohibited,implemented,2000,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,traffickingprohibitedh,implemented,2000,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,gunshow,implemented,2001,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,gunshowh,implemented,2001,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,statechecks,implemented,2001,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,statechecksh,implemented,2001,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,ccbackground,implemented,2003,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,ccbackgroundnics,implemented,2003,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,ccrenewbackground,implemented,2003,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,ccrevoke,implemented,2003,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,elementary,implemented,2003,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,mayissue,removal,2003,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,preemption,removal,2003,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,preemptionbroad,removal,2003,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,preemptionnarrow,removal,2003,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,backgroundpurge,implemented,2013,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,dvro,implemented,2013,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,dvrosurrender,implemented,2013,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,dvrosurrendernoconditions,implemented,2013,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,magazine,implemented,2013,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,mcdv,implemented,2013,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,mcdvsurrender,implemented,2013,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,mcdvsurrendernoconditions,implemented,2013,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,recordsallh,implemented,2013,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,universal,implemented,2013,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,universalh,implemented,2013,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,universalpermit,implemented,2013,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CO,universalpermith,implemented,2013,309,350,390,380,363,402,396,371,396,387,454,427,443,533,489,539,541,613
CT,relinquishment,implemented,2002,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107
CT,danger,implemented,2004,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107
CT,invoutpatient,implemented,2005,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107
CT,loststolen,implemented,2007,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107
CT,age18longgunpossess,implemented,2013,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107
CT,age18longgunsale,implemented,2013,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107
CT,amm18,implemented,2013,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107
CT,amm21h,implemented,2013,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107
CT,ammbackground,implemented,2013,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107
CT,ammpermit,implemented,2013,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107
CT,ammrestrict,implemented,2013,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107
CT,magazine,implemented,2013,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107
CT,onefeature,implemented,2013,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107
CT,tenroundlimit,implemented,2013,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107
CT,violent,implemented,2013,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107
CT,permit,implemented,2014,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107
CT,exparte,implemented,2016,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107
CT,expartedating,implemented,2016,110,111,113,85,87,105,112,79,78,109,86,109,111,111,86,120,101,107
