State,Year,LawName,Switching,Homicides_-16,Homicides_-15,Homicides_-14,Homicides_-13,Homicides_-12,Homicides_-11,Homicides_-10,Homicides_-9,Homicides_-8,Homicides_-7,Homicides_-6,Homicides_-5,Homicides_-4,Homicides_-3,Homicides_-2,Homicides_-1,Current_Homicides,Y
AK,2003,ccbackground,removal,,,,,,,,,,,,,26,15,19,22,23,20
AK,2003,ccrevoke,removal,,,,,,,,,,,,,26,15,19,22,23,20
AK,2003,permitconcealed,removal,,,,,,,,,,,,,26,15,19,22,23,20
AK,2013,nosyg,removal,,,26,15,19,22,23,20,23,27,22,17,20,24,20,21,18,22
AL,2000,immunity,removal,,,,,,,,,,,,,,,,12,151,224
AL,2000,preemptionbroad,removal,,,,,,,,,,,,,,,,12,151,224
AL,2000,recordsallh,removal,,,,,,,,,,,,,,,,12,151,224
AL,2000,reportallh,removal,,,,,,,,,,,,,,,,12,151,224
AL,2000,waitingh,removal,,,,,,,,,,,,,,,,12,151,224
AL,2006,ccbackground,implemented,,,,,,,,,,12,151,224,187,209,162,219,248,284
AL,2006,nosyg,removal,,,,,,,,,,12,151,224,187,209,162,219,248,284
AL,2012,stalking,removal,,,,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152
AL,2013,ccbackgroundnics,implemented,,,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219
AL,2013,ccrenewbackground,implemented,,,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219
AL,2013,mayissue,removal,,,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219
AL,2013,showing,removal,,,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219
AL,2015,danger,implemented,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219,236,292
AL,2015,dvro,implemented,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219,236,292
AL,2015,invcommitment,implemented,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219,236,292
AL,2015,mcdv,implemented,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219,236,292
AL,2015,purge,removal,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219,236,292
AL,2015,recordsdealerh,removal,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219,236,292
AL,2015,reportdealerh,removal,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219,236,292
AL,2015,security,removal,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219,236,292
AR,2013,collegeconcealed,removal,,,94,112,90,110,104,96,119,134,118,104,99,96,107,111,103,99
AR,2013,stalking,removal,,,94,112,90,110,104,96,119,134,118,104,99,96,107,111,103,99
AZ,2000,mcdv,implemented,,,,,,,,,,,,,,,,268,259,306
AZ,2000,mcdvdating,implemented,,,,,,,,,,,,,,,,268,259,306
AZ,2010,ccbackground,removal,,,,,,268,259,306,323,314,320,332,350,337,310,217,255,234
AZ,2010,ccrenewbackground,removal,,,,,,268,259,306,323,314,320,332,350,337,310,217,255,234
AZ,2010,ccrevoke,removal,,,,,,268,259,306,323,314,320,332,350,337,310,217,255,234
AZ,2010,nosyg,removal,,,,,,268,259,306,323,314,320,332,350,337,310,217,255,234
AZ,2010,permitconcealed,removal,,,,,,268,259,306,323,314,320,332,350,337,310,217,255,234
CA,2000,dvro,implemented,,,,,,,,,,,,,,,,1352,1507,1605
CA,2000,dvrodating,implemented,,,,,,,,,,,,,,,,1352,1507,1605
CA,2000,dvrosurrender,implemented,,,,,,,,,,,,,,,,1352,1507,1605
CA,2000,dvrosurrenderdating,implemented,,,,,,,,,,,,,,,,1352,1507,1605
CA,2000,dvrosurrendernoconditions,implemented,,,,,,,,,,,,,,,,1352,1507,1605
CA,2000,exparte,implemented,,,,,,,,,,,,,,,,1352,1507,1605
CA,2000,expartedating,implemented,,,,,,,,,,,,,,,,1352,1507,1605
CA,2000,expartesurrender,implemented,,,,,,,,,,,,,,,,1352,1507,1605
CA,2000,expartesurrenderdating,implemented,,,,,,,,,,,,,,,,1352,1507,1605
CA,2000,expartesurrendernoconditions,implemented,,,,,,,,,,,,,,,,1352,1507,1605
CA,2000,incidentremoval,implemented,,,,,,,,,,,,,,,,1352,1507,1605
CA,2000,magazine,implemented,,,,,,,,,,,,,,,,1352,1507,1605
CA,2000,onefeature,implemented,,,,,,,,,,,,,,,,1352,1507,1605
CA,2000,tenroundlimit,implemented,,,,,,,,,,,,,,,,1352,1507,1605
CA,2001,junkgun,implemented,,,,,,,,,,,,,,,1352,1507,1605,1761
CA,2002,immunity,implemented,,,,,,,,,,,,,,1352,1507,1605,1761,1794
CA,2002,lockd,implemented,,,,,,,,,,,,,,1352,1507,1605,1761,1794
CA,2002,lockp,implemented,,,,,,,,,,,,,,1352,1507,1605,1761,1794
CA,2002,lockstandards,implemented,,,,,,,,,,,,,,1352,1507,1605,1761,1794
CA,2002,mcdvsurrender,implemented,,,,,,,,,,,,,,1352,1507,1605,1761,1794
CA,2002,mcdvsurrenderdating,implemented,,,,,,,,,,,,,,1352,1507,1605,1761,1794
CA,2002,mcdvsurrendernoconditions,implemented,,,,,,,,,,,,,,1352,1507,1605,1761,1794
CA,2011,ammrecords,implemented,,,,,1352,1507,1605,1761,1794,1788,1881,1874,1678,1518,1407,1303,1260,1367
