State,Year,LawName,Switching,Assaults_-16,Assaults_-15,Assaults_-14,Assaults_-13,Assaults_-12,Assaults_-11,Assaults_-10,Assaults_-9,Assaults_-8,Assaults_-7,Assaults_-6,Assaults_-5,Assaults_-4,Assaults_-3,Assaults_-2,Assaults_-1,Current_Assaults,Assaults_1,Homicides_-16,Homicides_-15,Homicides_-14,Homicides_-13,Homicides_-12,Homicides_-11,Homicides_-10,Homicides_-9,Homicides_-8,Homicides_-7,Homicides_-6,Homicides_-5,Homicides_-4,Homicides_-3,Homicides_-2,Homicides_-1,Current_Homicides,Homicides_1,Suicides_-16,Suicides_-15,Suicides_-14,Suicides_-13,Suicides_-12,Suicides_-11,Suicides_-10,Suicides_-9,Suicides_-8,Suicides_-7,Suicides_-6,Suicides_-5,Suicides_-4,Suicides_-3,Suicides_-2,Suicides_-1,Current_Suicides,Suicides_1
AK,2003,ccbackground,removal,,,,,,,,,,,,,535,353,454,441,495,459,,,,,,,,,,,,,26,15,19,22,23,20,,,,,,,,,,,,,55,96,61,87,76,89
AK,2003,ccrevoke,removal,,,,,,,,,,,,,535,353,454,441,495,459,,,,,,,,,,,,,26,15,19,22,23,20,,,,,,,,,,,,,55,96,61,87,76,89
AK,2003,permitconcealed,removal,,,,,,,,,,,,,535,353,454,441,495,459,,,,,,,,,,,,,26,15,19,22,23,20,,,,,,,,,,,,,55,96,61,87,76,89
AK,2013,nosyg,removal,,,535,353,454,441,495,459,582,590,589,535,540,543,575,549,550,599,,,26,15,19,22,23,20,23,27,22,17,20,24,20,21,18,22,,,55,96,61,87,76,89,81,68,87,116,76,99,99,98,120,115
AL,2000,immunity,removal,,,,,,,,,,,,,,,,1645,2461,1962,,,,,,,,,,,,,,,,12,151,224,,,,,,,,,,,,,,,,435,427,387
AL,2000,preemptionbroad,removal,,,,,,,,,,,,,,,,1645,2461,1962,,,,,,,,,,,,,,,,12,151,224,,,,,,,,,,,,,,,,435,427,387
AL,2000,recordsallh,removal,,,,,,,,,,,,,,,,1645,2461,1962,,,,,,,,,,,,,,,,12,151,224,,,,,,,,,,,,,,,,435,427,387
AL,2000,reportallh,removal,,,,,,,,,,,,,,,,1645,2461,1962,,,,,,,,,,,,,,,,12,151,224,,,,,,,,,,,,,,,,435,427,387
AL,2000,waitingh,removal,,,,,,,,,,,,,,,,1645,2461,1962,,,,,,,,,,,,,,,,12,151,224,,,,,,,,,,,,,,,,435,427,387
AL,2006,ccbackground,implemented,,,,,,,,,,1645,2461,1962,2402,1782,1738,1520,1523,1906,,,,,,,,,,12,151,224,187,209,162,219,248,284,,,,,,,,,,435,427,387,381,399,375,369,400,396
AL,2006,nosyg,removal,,,,,,,,,,1645,2461,1962,2402,1782,1738,1520,1523,1906,,,,,,,,,,12,151,224,187,209,162,219,248,284,,,,,,,,,,435,427,387,381,399,375,369,400,396
AL,2012,stalking,removal,,,,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,,,,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,,,,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504
AL,2013,ccbackgroundnics,implemented,,,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,,,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219,,,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479
AL,2013,ccrenewbackground,implemented,,,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,,,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219,,,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479
AL,2013,mayissue,removal,,,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,,,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219,,,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479
AL,2013,showing,removal,,,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,,,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219,,,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479
AL,2015,danger,implemented,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219,236,292,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,2015,dvro,implemented,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219,236,292,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
AL,2015,invcommitment,implemented,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,12,151,224,187,209,162,219,248,284,265,229,123,173,181,152,219,236,292,435,427,387,381,399,375,369,400,396,424,479,454,452,500,504,479,528,550
