State,Year,LawName,Switching,Assaults_-16,Assaults_-15,Assaults_-14,Assaults_-13,Assaults_-12,Assaults_-11,Assaults_-10,Assaults_-9,Assaults_-8,Assaults_-7,Assaults_-6,Assaults_-5,Assaults_-4,Assaults_-3,Assaults_-2,Assaults_-1,Assaults_0,Assaults_1,Assaults_2,Assaults_3,Assaults_4,Assaults_5,Assaults_6,Assaults_7,Assaults_8,Assaults_9,Assaults_10,Assaults_11,Assaults_12,Assaults_13,Assaults_14,Assaults_15,Assaults_16
AK,2003,ccbackground,removal,,,,,,,,,,,,,535,353,454,441,495,459,582,590,589,535,540,543,575,549,550,599,716,883,,,
AK,2003,ccrevoke,removal,,,,,,,,,,,,,535,353,454,441,495,459,582,590,589,535,540,543,575,549,550,599,716,883,,,
AK,2003,permitconcealed,removal,,,,,,,,,,,,,535,353,454,441,495,459,582,590,589,535,540,543,575,549,550,599,716,883,,,
AK,2013,nosyg,removal,,,535,353,454,441,495,459,582,590,589,535,540,543,575,549,550,599,716,883,,,,,,,,,,,,,
AL,2000,immunity,removal,,,,,,,,,,,,,,,,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,2000,preemptionbroad,removal,,,,,,,,,,,,,,,,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,2000,recordsallh,removal,,,,,,,,,,,,,,,,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,2000,reportallh,removal,,,,,,,,,,,,,,,,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,2000,waitingh,removal,,,,,,,,,,,,,,,,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994
AL,2006,ccbackground,implemented,,,,,,,,,,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,,,,,,
AL,2006,nosyg,removal,,,,,,,,,,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,,,,,,
AL,2012,stalking,removal,,,,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,,,,,,,,,,,,
AL,2013,ccbackgroundnics,implemented,,,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,,,,,,,,,,,,,
AL,2013,ccrenewbackground,implemented,,,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,,,,,,,,,,,,,
AL,2013,mayissue,removal,,,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,,,,,,,,,,,,,
AL,2013,showing,removal,,,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,,,,,,,,,,,,,
AL,2015,danger,implemented,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,,,,,,,,,,,,,,,
AL,2015,dvro,implemented,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,,,,,,,,,,,,,,,
AL,2015,invcommitment,implemented,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,,,,,,,,,,,,,,,
AL,2015,mcdv,implemented,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,,,,,,,,,,,,,,,
AL,2015,purge,removal,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,,,,,,,,,,,,,,,
AL,2015,recordsdealerh,removal,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,,,,,,,,,,,,,,,
AL,2015,reportdealerh,removal,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,,,,,,,,,,,,,,,
AL,2015,security,removal,1645,2461,1962,2402,1782,1738,1520,1523,1906,2258,1609,1529,1607,1610,2272,2213,3216,3994,,,,,,,,,,,,,,,
AR,2013,collegeconcealed,removal,,,1761,1687,1373,1322,1510,2008,2550,2577,2565,2316,2515,2548,2518,2541,2471,2822,3114,3884,,,,,,,,,,,,,
AR,2013,stalking,removal,,,1761,1687,1373,1322,1510,2008,2550,2577,2565,2316,2515,2548,2518,2541,2471,2822,3114,3884,,,,,,,,,,,,,
AZ,2000,mcdv,implemented,,,,,,,,,,,,,,,,4349,4103,4105,4604,4895,4916,3892,5353,4863,4842,4053,3618,3603,4010,3942,2773,4242,5024
AZ,2000,mcdvdating,implemented,,,,,,,,,,,,,,,,4349,4103,4105,4604,4895,4916,3892,5353,4863,4842,4053,3618,3603,4010,3942,2773,4242,5024
AZ,2010,ccbackground,removal,,,,,,4349,4103,4105,4604,4895,4916,3892,5353,4863,4842,4053,3618,3603,4010,3942,2773,4242,5024,,,,,,,,,,
AZ,2010,ccrenewbackground,removal,,,,,,4349,4103,4105,4604,4895,4916,3892,5353,4863,4842,4053,3618,3603,4010,3942,2773,4242,5024,,,,,,,,,,
AZ,2010,ccrevoke,removal,,,,,,4349,4103,4105,4604,4895,4916,3892,5353,4863,4842,4053,3618,3603,4010,3942,2773,4242,5024,,,,,,,,,,
AZ,2010,nosyg,removal,,,,,,4349,4103,4105,4604,4895,4916,3892,5353,4863,4842,4053,3618,3603,4010,3942,2773,4242,5024,,,,,,,,,,
AZ,2010,permitconcealed,removal,,,,,,4349,4103,4105,4604,4895,4916,3892,5353,4863,4842,4053,3618,3603,4010,3942,2773,4242,5024,,,,,,,,,,
